drug	proximity	pval	similarity	adjusted_similarity	TTD_association	TDD_ass
pindolol	0.8	0.025412148	0.733333333	0.990597992	Hypertension 	Hypertension
pirbuterol	0	0.005768635	1	0.99995369	Asthma 	Asthma
piroxicam	0	4.29E-05	1	0.99995369	Pain 	Pain
pomalidomide	0.333333333	0.001613215	0.888888889	0.999574708	Systemic sclerosis 	Systemic sclerosis
porfimer sodium	0	0.001850171	1	0.99995369	Non-small-cell lung cancer 	Non-small-cell lung cancer
practolol	0	0.007896615	1	0.99995369	Cardiac arrhythmias 	Cardiac arrhythmias
pralatrexate	0	6.69E-05	1	0.99995369	Breast cancer 	Breast cancer
pralatrexate	0	6.69E-05	1	0.99995369	Peripheral T-cell lymphoma 	Peripheral T-cell lymphoma
pramlintide	0.5	0.002807764	0.833333333	0.998712041	Type-1/2 diabetes 	Type-1/2 diabetes
primaquine	0.5	0.033958827	0.833333333	0.998712041	Malaria 	Malaria
probenecid	1	0.042369302	0.666666667	0.965333637	Hyperuricaemia 	Hyperuricaemia
probenecid	1	0.042369302	0.666666667	0.965333637	Gout 	Gout
proflavine	0	0.002281057	1	0.99995369	Sepsis 	Sepsis
progesterone	0.5	0.008547583	0.833333333	0.998712041	Premature labour 	Premature labour
progesterone	0.5	0.008547583	0.833333333	0.998712041	Contraception 	Contraception
proguanil	0	0.005254506	1	0.99995369	Malaria 	Malaria
propafenone	0.5	0.02092068	0.833333333	0.998712041	Tachyarrhythmias 	Tachyarrhythmias
propranolol	0.8	0.004445649	0.733333333	0.990597992	Migraine 	Migraine
pseudoephedrine	0.714285714	0.001398004	0.761904762	0.994662667	Nasal congestion 	Nasal congestion
quinapril	0	0.014663709	1	0.99995369	Hypertension 	Hypertension
raltitrexed	0	7.15E-06	1	0.99995369	Rectal adenocarcinoma 	Rectal adenocarcinoma
ramelteon	0	1.59E-05	1	0.99995369	Circadian rhythm sleep disorder 	Circadian rhythm sleep disorder
ramelteon	0	1.59E-05	1	0.99995369	Insomnia 	Insomnia
ramipril	0.5	0.013335084	0.833333333	0.998712041	Congestive heart failure 	Congestive heart failure
ranibizumab	0	7.21E-05	1	0.99995369	Hereditary hemorrhagic telangiectasia 	Hereditary hemorrhagic telangiectasia
ravulizumab	0	0.017435927	1	0.99995369	Paroxysmal nocturnal haemoglobinuria 	Paroxysmal nocturnal haemoglobinuria
regadenoson	0	0.019774843	1	0.99995369	Radionuclide imaging 	Radionuclide imaging
rescinnamine	0	0.023133954	1	0.99995369	Hypertension 	Hypertension
rilonacept	0	2.41E-05	1	0.99995369	Acute gout flare 	Acute gout flare
rilonacept	0	2.41E-05	1	0.99995369	Arthritis 	Arthritis
risankizumab	0	0.000189308	1	0.99995369	Psoriatic arthritis 	Psoriatic arthritis
risankizumab	0	0.000189308	1	0.99995369	Plaque psoriasis 	Plaque psoriasis
ritodrine	0	0.046615177	1	0.99995369	Premature labour 	Premature labour
rivastigmine	1	0.047457678	0.666666667	0.965333637	Alzheimer disease 	Alzheimer disease
rofecoxib	0.5	0.026534379	0.833333333	0.998712041	Osteoarthritis 	Osteoarthritis
rolapitant	0	0.006109672	1	0.99995369	Chemotherapy-induced nausea 	Chemotherapy-induced nausea
romidepsin	0.8	0.002170363	0.733333333	0.990597992	Renal cell carcinoma 	Renal cell carcinoma
romidepsin	0.8	0.002170363	0.733333333	0.990597992	Cutaneous T-cell lymphoma 	Cutaneous T-cell lymphoma
romidepsin	0.8	0.002170363	0.733333333	0.990597992	Peripheral T-cell lymphoma 	Peripheral T-cell lymphoma
romosozumab	0	0.000975802	1	0.99995369	Postmenopausal osteoporosis 	Postmenopausal osteoporosis
salbutamol	0	1.15E-06	1	0.99995369	Acute asthma 	Acute asthma
salmeterol	0	2.29E-05	1	0.99995369	Chronic obstructive pulmonary disease 	Chronic obstructive pulmonary disease
salmon calcitonin	0	0.007897129	1	0.99995369	Osteoporosis 	Osteoporosis
salsalate	0	0.000394835	1	0.99995369	Rheumatoid arthritis 	Rheumatoid arthritis
sarilumab	0	9.84E-16	1	0.99995369	Rheumatoid arthritis 	Rheumatoid arthritis
saxagliptin	0	3.25E-05	1	0.99995369	Type-2 diabetes 	Type-2 diabetes
secukinumab	0	0.003435471	1	0.99995369	Atopic dermatitis 	Atopic dermatitis
secukinumab	0	0.003435471	1	0.99995369	Psoriatic arthritis 	Psoriatic arthritis
secukinumab	0	0.003435471	1	0.99995369	Plaque psoriasis 	Plaque psoriasis
secukinumab	0	0.003435471	1	0.99995369	Multiple sclerosis 	Multiple sclerosis
secukinumab	0	0.003435471	1	0.99995369	Alopecia 	Alopecia
secukinumab	0	0.003435471	1	0.99995369	Type-1 diabetes 	Type-1 diabetes
secukinumab	0	0.003435471	1	0.99995369	Rheumatoid arthritis 	Rheumatoid arthritis
secukinumab	0	0.003435471	1	0.99995369	Dry eye disease 	Dry eye disease
siltuximab	0	0.001667734	1	0.99995369	Anemia 	Anemia
sitagliptin	0	2.43E-05	1	0.99995369	Type-2 diabetes 	Type-2 diabetes
sotalol	0.333333333	0.012390736	0.888888889	0.999574708	Sinus rhythm disorder 	Sinus rhythm disorder
spirapril	0	0.023012062	1	0.99995369	Hypertension 	Hypertension
streptomycin	0	0.012428583	1	0.99995369	Bacterial infection 	Bacterial infection
sucralfate	0.6	0.004960403	0.8	0.997497769	Acne vulgaris 	Acne vulgaris
sulfamethoxazole	0	0.000370198	1	0.99995369	Bacterial infection 	Bacterial infection
sulfamethoxazole	0	0.000370198	1	0.99995369	Infection of P. falciparum 	Infection of P. falciparum
sulfasalazine	0.7	0.001948092	0.766666667	0.99514426	Rheumatoid arthritis 	Rheumatoid arthritis
sulindac	0.857142857	0.01331693	0.714285714	0.986308457	Rheumatoid arthritis 	Rheumatoid arthritis
suprofen	0	0.0006698	1	0.99995369	Miosis 	Miosis
tasimelteon	0	0.000299977	1	0.99995369	Insomnia 	Insomnia
tasonermin	0	0.00263194	1	0.99995369	Solid tumour/cancer 	Solid tumour/cancer
tegafur	0	0.000756916	1	0.99995369	Solid tumour/cancer 	Solid tumour/cancer
tegaserod	0.75	0.00067071	0.75	0.993240715	Irritable bowel syndrome 	Irritable bowel syndrome
telotristat ethyl	1	0.042410927	0.666666667	0.965333637	Carcinoid syndrome diarrhea 	Carcinoid syndrome diarrhea
telotristat ethyl	1	0.042410927	0.666666667	0.965333637	Carcinoid syndrome 	Carcinoid syndrome
tenecteplase	0.818181818	0.014732805	0.727272727	0.98940178	Myocardial infarction 	Myocardial infarction
tenoxicam	0	0.000149427	1	0.99995369	Rheumatoid arthritis 	Rheumatoid arthritis
terbutaline	0	4.87E-05	1	0.99995369	Asthma 	Asthma
teriflunomide	0	0.012416143	1	0.99995369	Hepatitis B virus infection 	Hepatitis B virus infection
teriflunomide	0	0.012416143	1	0.99995369	Hyperlipidaemia 	Hyperlipidaemia
teriflunomide	0	0.012416143	1	0.99995369	Multiple sclerosis 	Multiple sclerosis
teriflunomide	0	0.012416143	1	0.99995369	Rheumatoid arthritis 	Rheumatoid arthritis
testolactone	0	0.002263869	1	0.99995369	Breast cancer 	Breast cancer
tetracycline	0.5	0.038561674	0.833333333	0.998712041	Bacterial infection 	Bacterial infection
thalidomide	0.571428571	0.0020376	0.80952381	0.997930062	Multiple myeloma 	Multiple myeloma
thiothixene	0.666666667	0.043340073	0.777777778	0.996106348	Schizophrenia 	Schizophrenia
thyrotropin alfa	0	0.004953049	1	0.99995369	Thyroid cancer 	Thyroid cancer
tiaprofenic acid	0	0.000202811	1	0.99995369	Pain 	Pain
tildrakizumab	0	0.002919968	1	0.99995369	Plaque psoriasis 	Plaque psoriasis
timolol	0	0.007161012	1	0.99995369	High blood pressure 	High blood pressure
tocilizumab	0	0.00794031	1	0.99995369	Rheumatoid arthritis 	Rheumatoid arthritis
tocilizumab	0	0.00794031	1	0.99995369	Juvenile idiopathic arthritis 	Juvenile idiopathic arthritis
tocofersolan	0	0.003442181	1	0.99995369	Vitamin E deficiency 	Vitamin E deficiency
tofacitinib	0.25	0.000116585	0.916666667	0.999755673	Rheumatoid arthritis 	Rheumatoid arthritis
tolmetin	0	0.000114478	1	0.99995369	Rheumatoid arthritis 	Rheumatoid arthritis
topotecan	1	0.044565463	0.666666667	0.965333637	Ovarian cancer 	Ovarian cancer
tositumomab	0.1	3.79E-15	0.966666667	0.999909924	Non-hodgkin lymphoma 	Non-hodgkin lymphoma
trametinib	0.5	0.036672399	0.833333333	0.998712041	Melanoma 	Melanoma
trandolapril	0	0.015759553	1	0.99995369	Hypertension 	Hypertension
trastuzumab	0.166666667	3.36E-16	0.944444444	0.999859647	Breast cancer 	Breast cancer
trastuzumab deruxtecan	0.5	0.026125751	0.833333333	0.998712041	Colorectal cancer 	Colorectal cancer
trazodone	0.857142857	0.017143139	0.714285714	0.986308457	Depression 	Depression
triamterene	0.75	0.043660304	0.75	0.993240715	Hypertension 	Hypertension
triamterene	0.75	0.043660304	0.75	0.993240715	Edema 	Edema
triamterene	0.75	0.043660304	0.75	0.993240715	Congestive heart failure 	Congestive heart failure
trifluridine	0	0.008116575	1	0.99995369	Virus infection 	Virus infection
trimethoprim	0	5.03E-05	1	0.99995369	Urinary tract infection 	Urinary tract infection
trimetrexate	0	0.014834136	1	0.99995369	Toxoplasmosis 	Toxoplasmosis
trimipramine	1.125	0.023866247	0.625	0.923792525	Major depressive disorder 	Major depressive disorder
trolamine salicylate	0	4.47E-05	1	0.99995369	Pain 	Pain
ulipristal	0	0.003804913	1	0.99995369	Contraception 	Contraception
urokinase	0.7	0.002496798	0.766666667	0.99514426	Myocardial infarction 	Myocardial infarction
ustekinumab	0	0.000162994	1	0.99995369	Plaque psoriasis 	Plaque psoriasis
ustekinumab	0	0.000162994	1	0.99995369	Inflammatory bowel disease 	Inflammatory bowel disease
ustekinumab	0	0.000162994	1	0.99995369	Malaria 	Malaria
ustekinumab	0	0.000162994	1	0.99995369	Psoriasis vulgaris 	Psoriasis vulgaris
venetoclax	0	0.008929131	1	0.99995369	Acute myeloid leukaemia 	Acute myeloid leukaemia
venetoclax	0	0.008929131	1	0.99995369	Chronic lymphocytic leukaemia 	Chronic lymphocytic leukaemia
vildagliptin	0	0.003137502	1	0.99995369	Type-2 diabetes 	Type-2 diabetes
zinc acetate	0.947826087	2.78E-10	0.684057971	0.975249273	Wilson disease 	Wilson disease
zinc chloride	0.947826087	2.02E-08	0.684057971	0.975249273	Common cold 	Common cold
